OPUS ID,Instrument Name,Planet,Intended Target Name,Observation Start Time,Observation Duration (secs)
co-iss-n1463536077,Cassini ISS,Saturn,Saturn,2004-05-18T01:24:06.935,0.1800
co-iss-n1463536094,Cassini ISS,Saturn,Saturn,2004-05-18T01:24:23.435,0.6800
co-iss-n1463536111,Cassini ISS,Saturn,Saturn,2004-05-18T01:24:40.895,0.2200
co-iss-n1463536128,Cassini ISS,Saturn,Saturn,2004-05-18T01:24:56.115,2.0000
co-iss-n1463536145,Cassini ISS,Saturn,Saturn,2004-05-18T01:25:14.114,1.0000
co-iss-n1463536177,Cassini ISS,Saturn,Saturn,2004-05-18T01:25:41.522,5.6000
co-iss-n1463536194,Cassini ISS,Saturn,Saturn,2004-05-18T01:26:02.126,2.0000
co-iss-n1463536234,Cassini ISS,Saturn,Saturn,2004-05-18T01:26:26.129,18.0000
co-iss-n1463536322,Cassini ISS,Saturn,Saturn,2004-05-18T01:27:34.133,38.0000
co-iss-n1463536378,Cassini ISS,Saturn,Saturn,2004-05-18T01:28:50.140,18.0000
co-iss-n1463536418,Cassini ISS,Saturn,Saturn,2004-05-18T01:29:45.544,2.6000
co-iss-n1463536466,Cassini ISS,Saturn,Saturn,2004-05-18T01:30:27.947,8.2000
co-iss-n1463536499,Cassini ISS,Saturn,Saturn,2004-05-18T01:31:07.951,1.2000
co-iss-n1463536547,Cassini ISS,Saturn,Saturn,2004-05-18T01:31:48.959,8.2000
co-iss-n1463536564,Cassini ISS,Saturn,Saturn,2004-05-18T01:32:12.962,1.2000
co-iss-n1463537820,Cassini ISS,Saturn,Saturn,2004-05-18T01:52:38.084,32.0000
co-iss-n1463537892,Cassini ISS,Saturn,Saturn,2004-05-18T01:54:00.084,22.0000
co-iss-n1463537940,Cassini ISS,Saturn,Saturn,2004-05-18T01:55:00.091,10.0000
co-iss-n1463537974,Cassini ISS,Saturn,Saturn,2004-05-18T01:55:42.895,1.2000
co-iss-n1463538014,Cassini ISS,Saturn,Saturn,2004-05-18T01:56:06.098,18.0000
co-iss-n1463538031,Cassini ISS,Saturn,Saturn,2004-05-18T01:56:40.842,0.2600
co-iss-n1463538048,Cassini ISS,Saturn,Saturn,2004-05-18T01:56:57.542,0.5600
co-iss-n1463538065,Cassini ISS,Saturn,Saturn,2004-05-18T01:57:14.922,0.1800
co-iss-n1463538082,Cassini ISS,Saturn,Saturn,2004-05-18T01:57:31.422,0.6800
co-iss-n1463538099,Cassini ISS,Saturn,Saturn,2004-05-18T01:57:48.882,0.2200
